date,draw_id,ball_1,ball_2,ball_3,total,verdict
2026-07-17,177128,1,6,5,12,Lớn
2026-07-17,177129,3,2,4,9,Nhỏ
2026-07-17,177130,4,6,2,12,Lớn
2026-07-17,177131,1,3,1,5,Nhỏ
2026-07-17,177132,6,3,4,13,Lớn
2026-07-17,177133,6,1,6,13,Lớn
2026-07-17,177134,5,5,4,14,Lớn
2026-07-17,177135,3,3,6,12,Lớn
2026-07-20,177607,3,6,2,11,Hòa
2026-07-20,177608,4,5,4,13,Lớn
2026-07-20,177609,3,6,5,14,Lớn
2026-07-20,177610,4,6,6,16,Lớn
2026-07-20,177611,6,2,5,13,Lớn
2026-07-20,177612,1,6,2,9,Nhỏ
2026-07-21,177613,5,5,1,11,Hòa
2026-07-21,177614,1,3,2,6,Nhỏ
2026-07-21,177615,5,5,2,12,Lớn
2026-07-21,177616,2,4,3,9,Nhỏ
2026-07-21,177617,1,5,2,8,Nhỏ
2026-07-21,177618,1,4,1,6,Nhỏ
2026-07-21,177619,6,6,4,16,Lớn
2026-07-21,177620,6,5,1,12,Lớn
2026-07-21,177621,5,2,4,11,Hòa
2026-07-21,177622,1,3,5,9,Nhỏ
2026-07-21,177623,3,3,2,8,Nhỏ
2026-07-21,177624,5,1,4,10,Hòa
2026-07-21,177625,1,4,3,8,Nhỏ
2026-07-21,177626,3,1,1,5,Nhỏ
2026-07-21,177627,2,4,6,12,Lớn
2026-07-21,177628,5,4,1,10,Hòa
2026-07-21,177629,4,6,5,15,Lớn
2026-07-21,177630,1,6,3,10,Hòa
2026-07-21,177631,1,4,2,7,Nhỏ
2026-07-21,177632,6,2,1,9,Nhỏ
2026-07-21,177633,3,6,6,15,Lớn
2026-07-21,177634,2,6,5,13,Lớn
2026-07-21,177635,5,1,4,10,Hòa
2026-07-21,177636,1,2,6,9,Nhỏ
2026-07-21,177637,2,3,4,9,Nhỏ
2026-07-21,177638,3,4,1,8,Nhỏ
2026-07-21,177639,6,3,3,12,Lớn
2026-07-21,177640,6,4,5,15,Lớn
2026-07-21,177641,3,6,2,11,Hòa
2026-07-21,177642,2,3,1,6,Nhỏ
2026-07-21,177643,1,1,5,7,Nhỏ
2026-07-21,177644,5,2,1,8,Nhỏ
2026-07-21,177645,2,6,1,9,Nhỏ
2026-07-21,177646,5,4,1,10,Hòa
2026-07-21,177647,1,6,3,10,Hòa
2026-07-21,177648,6,5,2,13,Lớn
2026-07-21,177649,6,4,3,13,Lớn
2026-07-21,177650,4,2,2,8,Nhỏ
2026-07-21,177651,2,1,1,4,Nhỏ
2026-07-21,177652,4,1,5,10,Hòa
